코드,자료명,파일명,URL
강원도-01,"한오백년",M021-Gangwondo-01.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gangwondo-01.wav
강원도-02,"강원도아리랑",M021-Gangwondo-02.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gangwondo-02.wav
경기도-01,"개고리 타령",M021-Gyeonggido-01.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-01.wav
경기도-02,"건드렁 타령",M021-Gyeonggido-02.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-02.wav
경기도-03,"경복궁 타령",M021-Gyeonggido-03.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-03.wav
경기도-04,"구아리랑",M021-Gyeonggido-04.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-04.wav
경기도-05,"군밤타령",M021-Gyeonggido-05.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-05.wav
경기도-06,"궁초댕기",M021-Gyeonggido-06.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-06.wav
경기도-07,"금강산 타령",M021-Gyeonggido-07.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-07.wav
경기도-08,"긴아리랑",M021-Gyeonggido-08.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-08.wav
경기도-09,"노들강변",M021-Gyeonggido-09.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-09.wav
경기도-10,"노랫가락1",M021-Gyeonggido-10.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-10.wav
경기도-11,"노랫가락2",M021-Gyeonggido-11.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-11.wav
경기도-12,"는실타령",M021-Gyeonggido-12.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-12.wav
경기도-13,"늴리리야",M021-Gyeonggido-13.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-13.wav
경기도-14,"담바귀타령",M021-Gyeonggido-14.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-14.wav
경기도-15,"도라지",M021-Gyeonggido-15.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-15.wav
경기도-16,"도화타령",M021-Gyeonggido-16.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-16.wav
경기도-17,"매화타령",M021-Gyeonggido-17.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-17.wav
경기도-18,"밀양아리랑",M021-Gyeonggido-18.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-18.wav
경기도-19,"방아타령",M021-Gyeonggido-19.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-19.wav
경기도-20,"뱃노래",M021-Gyeonggido-20.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-20.wav
경기도-21,"뱃노래(2)",M021-Gyeonggido-21.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-21.wav
경기도-22,"베틀가",M021-Gyeonggido-22.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-22.wav
경기도-23,"본조아리랑",M021-Gyeonggido-23.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-23.wav
경기도-24,"사발가",M021-Gyeonggido-24.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-24.wav
경기도-25,"사설 방아 타령",M021-Gyeonggido-25.wav,https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-25.wav
